Name,Comment,Tag
Hanif R.,দাম অনুযায়ী পেন্ট ঠিক আছে এবং কোয়লিটি খুবই ভালো,Positive
Thoid M,এটা নিঃসন্দেহে প্রতারণা। আমি রিটার্ন করবো।,Negative
সুন্দর জ,দারাজ  কাছ থেকে এত বাজে মানের কাপড়ের শিলি হবে কখনোই আশা করিনি দেখতে খুবই সুন্দর ছবিতে আসলে বাস্তবে কি দিছে. এটা ব্যবহার করার কোন উপযুক্তই নয়.,Negative
Karmokar A,খারাপ না প্রোডাক্ট তা ... . একটু দাম কম হলে ভালো হতো.... দাম অনুযায়ী একটু লো মনে হয়....দাম তা কম হলে ভালো হতো,Neutral
tauhid S,পুরাই বাটপার। প্রোডাক্ট রিটার্ন করে নাই। বাটপারি বাদ দেন।,Negative
Nebir B,প্রোডাক্ট তা অনেক ভালো  মনে হয় দাম একটু বেশি .,Neutral
Belayet H,অর্ডার করছি ৩৩ সাইজ পেয়েছি ৩২সাইজ...সমাধান কি???,Negative
sabbir hasan,যা চাইছি তাই দিছে কিন্তু প্যান্টের সিলাই এর মান একদম খারাপ এখনই খুলে যাচ্ছে,Neutral
SABUJ,দাম একটু কম হলে ভালো হতো,Neutral
Rakib U.,মোটামুটি,Neutral
Champa R,খুবই বাজে কোয়ালিটি। কাপড়ের মান খারাপ কাজের মান খারাপ এবং ডিজাইন অনুযায়ী প্রোডাক্ট পাবেন না। কারো যদি টাকা কামড়ায় তাহলে অর্ডার করবেন।,Negative
Parbej R.,খুবই  ভালো একটা প্রোডাক্ট.. দাম এর দিক দিয়ে খুব ভালো প্যান্ট টা ..চাইলে সবাই নিতে পারেন,Positive
Gazi O.,মোটামুটি ভালো। কিন্তু কাপড়ের মান হিসাবে দামটা একটু বেশি।,Neutral
Eiyasin A.,বাজে একটা পন্য কালার এর সাথে কোন মিল নাই,Negative
jamil C.,বাজে প্রোডাক্ট ।সাইজ ৩৭ কোমর আমি অর্ডার দিয়েছিলাম  কিন্তু আমাকে দিছে ৩২ সাইজ,Negative
Ashikur R.,আমি চাইছিলাম  ৩৬ সাইজ  আর  আমারে  দিছে  ৩৪ সাইজ ,Negative
Shahed,আমি চাইছিলাম  ৩০ সাইজ  আর  আমারে  দিছে  ২৮ সাইজ ,Negative
Amit S,মোটামুটি ভালো ছিল,Positive
Riyad I.,"আপনাদের আর কি বলবো . ভুলটা আমারই , রিজেক্ট  করা প্যান্ট  সেল করে,,,দেখায় একটা দেয় আরেকটা",Negative
Jarjis R,আমি চাইছি কি আর আপেরা দিছেন কি বলেন।আমি মাল রিটান দিমু,Negative
Nusraat J,একবারে খারাপ একটা পেন্ট যেমন দেখাইছে তার আসে পাশেও নাই,Negative
Jihad A.,আমি ওডার দিছি কালো পেনট আমারে দিসে সাদা পেনট তা ও ভালো না,Negative
Arfi,"আমি নেভি ব্লু কালার চাইছিলাম কিন্তু পেলাম সাদা আর কাপরের কোয়ালিটি খুবিই বাজে, এবং কাপরে দাগ লাগানো, এক কথায় এটা টাকা খাওয়ার দান্দা",Negative
akhi M.,খুবই বাজে প্যান্ট তাই  রিজেক্ট করে  দিয়েছি ,Negative
mamun,ছবির সাথি  প্যান্টের  সাথে কোন মিল নাই....অর্ডার দিয়ে বোকাচোদা হইছি ,Negative
Aahyan,আসসালামু আলাইকুম  ধন্যবাদ দারাজকে ও সেলার ভাইকে অসাধারণ একটি প্রোডাক্ট। অনলাইন থেকে এই প্রথম কোন প্রোডাক্ট অর্ডার করলাম।ডেলিভারি ও প্রোডাক্ট এর মান দেখে ভরসা পেলাম। ,Positive
Fashion F,আমি ভাবতেই পারিনি অনলাইন থেকে কেনা পন্য এত ভালো হবে। ধন্যবাদ দারাজকে। তিনদিনে জায়গা মতো ডেলিভেরী পেয়েছি। কালার ডিজাইন সব পছন্দ হয়েছে। ,Positive
Sojib,"আমার পছন্দ হয়েছে, যদিও আরো উন্নত মানের কাপড় আশা করেছিলাম, কিন্তু দামের দিক থেকে অনেক ভালো, ",Positive
Rohmoti R.,কোয়ালিটি মোটামুটি ভালো. উপরের পার্ট ডার্ক ব্লু না হয়ে আরেকটু হালকা কালার হলে ভালো লাগতো.,Neutral
SAJAL,সুন্দর প্রোডাক্টস এত কম দামে পাবো কখনো আশা করি নাই । ধন্যবাদ দারাজ ।চাইলে  আপনারা নিতে পারেন..,Positive
Imran S,অনেক  আশা করে নিলাম কিন্তু এ রকম কাটা মাল আসবে ভাবি নি এটার কি ব্যবস্থা  আছে?,Negative
mridul M.,"আমি সন্তুষ্ট . এ দামে বেশ ভালোই মনে হলো। বাকীটা ব্যবহার  করার পর বুঝা যাবে। ধন্যবাদ সেলার, ধন্যবাদ দারাজ।  ",Positive
TANVIR,"ধন্যবাদ দারাজ ,ধন্যবাদ সেলার । খুব ভালো একটা টি-শার্ট ,, কাপড়ের সেলাই ভালো ছিল.কম সময়ে ডেলিভারী পেয়েছি। আপনারা চাইলে নিতে পারেন ",Positive
Md.Nazmul H,"যা অর্ডার করলাম তার সম্পূর্ণ  বিপরীত কালারের পেলাম,,আমি পিক  দেখে যা অর্ডার করছি  তার থেকে সম্পূর্ণ   ভিন্ন  কালারের কাপড় পেয়েছি ",Negative
Brittani M.,"পিকচার যেমন দেখেছি , প্রোডাক্ট টি তেমনি ভালো ছিল , খুবই শর্ট টাইম ডেলিভারি, ভালো  প্যাকেটিং, পারফেক্ট প্রাইজ ",Positive
emtiaz K,ধন্যবাদ সেলারকে এত কম দামে এত সুন্দর টি-শার্ট দেয়ার জন্যে সেই সাথে দারাজ কেও এত সতর্কতার সহিত খুব ডেলিভারি দেয়ার জন্যে ধন্যবাদ।,Positive
Tanbirislam,ধ্যনবাদ  ডেলিভারি ম্যানকে  .পণ্যের মান ভালো। আশা করি কেউ ঠকবেন না ,Positive
Jannat M.,ধন্যবাদ বিক্রেতাকে এত ভালো পোশাক দেওয়ার জন্য... সত্যিই প্রশংসিত... এবং ডেলিভারি খুব দ্রুত ছিল...,Positive
Mili M,ধন্যবাদ দারাজকে এবং সেলার ভাই দেরকে এত কমদামে ভালো কাপড় দেয়ার জন্য সবাই কিনতে পারেন খুব ভালো,Positive
Romzan,"অর্ডার দিয়েছিলাম একটা দিল আরেকটা, ভুল করে কেউ অনলাইন থেকে শপিং করবেন না । সব ফালতু বাটপার",Negative
Nahid H.,খুব ভালো। সেলার খুব ভালো ভাবে দিয়েছে এর জন্য ধন্যবাদ ,Positive
Arafat,"আলহামদুলিল্লাহ ,ছবির সাথে যথেষ্ট মিল আছে, কাপড় ও ভাল।",Positive
Nur J.,ছবির প্যান্টের কালারের সাথে মিল নাই কিন্তু যে কালারের প্যান্ট পেয়েছি এইটাও খারাপ না.দাম হিসেবে ভালোই ,Neutral
Md.Momin,মোটামোটি ভালো। কিনতু দিলাম অডার একটা পাই লাম আরেকটা,Neutral
Partha D.,"দাম হিসেবে ঠিক  আছে , আপনারা চাইলে নিতে পারেন",Positive
Plabon C.,যা আশা করছি তার চেয়ে ভালো পাইছি। ধন্যবাদ,Positive
Mitu,এটা অনেক ভালো যে রকম দেওয়া ছিল ঠিক তেমন,Positive
Imtiaj H.,এই দামে এর চেয়ে ভালো আশা করা যায় না।,Positive
Imamul F.,দাম অনুযায়ী এক কথায় অসাধারণ,Positive
Golarun,অর্ডার  দিয়েছি L সাইজ পাইছি  M  সাইজ ,Negative
Hàsáñ H.,গেঞ্জিটি  আমার খুবই পছন্দ হয়েছে  এবং তারাতাড়ি ডেলিভারি দেওয়া হয়েছে। ডেলিভারি ম্যানের ব্যবহার ও ভাল ছিল। ধন্যবাদ দারাজ !,Positive
bishozit P.,"কি রিভিউ দিবো সাইজ ঠিক নাই চাইছি M আর দিছেন XL এটা কেমন হইলো  ভাইয়া এমনটা আশা  করিনাই,আপনার থেকে সাইজ না থাকলে বলে দিতেন যে M  সাইজ নাই",Negative
Shafiul I.,অ‌নে‌কের রি‌ভিউ দেখে অর্ডার ক‌রে‌ছিলাম ৫‌পিছ কিন্তু হা‌তে পে‌য়ে দেখলাম রাস্তার ভ্যানেও  এর থে‌কে অ‌নেক ভাল কোয়া‌লি‌টির পণ্য  পাওয়া যায় এই দা‌মে । সব থে‌কে ফালতু জি‌নিস কাপ‌ড়ের কোয়া‌লি‌টিও অ‌নেক বা‌জে ।,Negative
Mariya A.,ডিজাইন ঠিক ছিল কিন্তু দুই  কাপড়ের তালি দেওয়া...মানেও ভাল না ..এখনো পড়িনি তাই বেশি কিছু লিখতে পারলাম না,Negative
mast 2,যেটা অর্ডার দিয়েছি সেটা তো পেলাম না। পেলাম অন্য কালার। আশা করেছিলাম আপনার থেকে যেটা অর্ডার দিয়েছিলাম সেটা পাবো। ,Negative
Syed K,দাম অনুযায়ী ভালো হয়েছে। কিন্তু অর্ডার দিয়েছি XL সাইজ হাতে পেয়েছি L সাইজ।নিজে পড়তে পারলাম না উপহার দিয়ে দিতে হলো,Neutral
Shah M,"আমি যে গেঞ্জীটা অর্ডার দিয়েছি তার উপরের অংশ ছিল আকাশী কালার, পেলাম গাঢ় নীল কালার ",Negative
Arif H.,"দেখতে অনেক সুন্দর দাম অনুযায়ী ঠিক আছে,আমার  গায়ে খুব ভালো ফিটিং হয়ছে, কাপড়ের মানও মোটামুটি ভালো।",Positive
Kabir C,ওয়াও। প্রোডাক্ট টি সত্যি অসাধারন ছিল। যেমন টি চেয়েছিলাম বা ভেবেছিলাম তার চেয়েও অনেক সুন্দর।,Positive
Khalil R,দাম অনুযায়ী ভালো মানের পলো শার্ট। ধন‍্যবাদ দারাজকে সময়মতো ডেলিভারি দেওয়ার জন‍্য।,Positive
Siam,দাম অনুযায়ী কোয়ালিটি ঠিক আছে সেলার কে ধন্যবাদ কালার ঠিকমতো দেওয়ার জন্য,Positive
Mujahid,গেঞ্জি খুব ভালো লেগেছে কিন্তু মোটা কাপড়ের বলে গরমে গায়ে দেওয়া যাবেনা,Neutral
Apple S,কাপড়ের মান এতোটা ভাল না৷ তবে দাম হিসেবে ঠিক  আছে নিতে পারেন সবাই,Neutral
Maowa A,"খুব ভালো ছিলো,,, সবাই চাইলে নিতে পারেন। ধন্যবাদ সেলার  কে ",Positive
Sojib,অসাধারন আমার কাছে খুব ভালো লাগছে চাইলে আপনারা নিতে পারেন,Positive
karim H.,মোটামুটি  দাম অনুযায়ী ঠিক আছে। XL  সাইজ অনেক বড়।,Neutral
Sälmåñ K.,সাইজ টা ছোট। চেঞ্জ  করা যাবে কি? আমার গায়ে হচ্ছে না।,Negative
Ishraat K,ধন্যবাদ দারাজ কে এত সুন্দর প্রোডাক্ট  দেওয়া জন্য,Positive
AHANAF,হাইটে একটু লম্বা হলে ভাল হত তবে গেঞ্জি পারফেক্ট,Neutral
Shariful I.,অনেক সুন্দর হয়েছে ভাইয়া আশা করছি আরো কিনবো,Positive
Md.Mostafizur R,কালার এবং সাইজ সেম হয়নি! কিন্তুু ফিটিংস ভালো,Neutral
Ripon J.,ধন্যবাদ দারাজ সবকিছু ঠিকআছে ছবির সাথে মিল আছে,Positive
Mahmudul H.,অনেক ভালো পন্য দাম হিসেবে। কাপড়ের মান ভালো।,Positive
Sajib H.,খুব বাজে একটা কাপড় দিছেন যেটা আশা করিনি,Negative
mdbabumia M.,গেঞ্জিটা একুরেট পেয়েছি ধন্যবাদ দারাজকে।,Positive
Tanvir A,যেমনটা চেয়েছি তেমনটা পেয়েছি খারাপ না,Neutral
Monirul I,চাইলাম রেড দিলেন হলুদ মোটামুটি ভালো,Positive
Mizanur R.,খুব ভালো লাগলো আপনাদের শপে শপিং করে।,Positive
Ramisa J.,অসাধারন ভালো পন্য সবাই নিতে পারেন,Positive
Chowdhury M,"যেমন ছিলো, তেমনি পেয়েছি ধন্যবাদ",Positive
Hasan I.,ছোট গেঞ্জি গায়ে হয় না। ভালো না।,Negative
Beethika M.,"একদম ভাল না, এক ধোয়াতেই নেকরা",Negative
Fayshal F.,দাম হিসেবে অনেক ভালো। ব্যবহার করেও অনেক মজা।,Positive
Mantal J,অনেক অনেক ভালো গেঞ্জি সবাই নিতে পারেন আমি নিছি অনেক ভালো পাইছি ,Positive
Sagar H.,যেটা দেখাইছে সেটা দেয়নি আর ছেড়া পরছে। এরা আসলেই ফাউল।,Negative
Forkan,"এই দামে(২১৮ টাকা) ভালো ডিল।ইনশাআল্লাহ, সামনে উনার থেকে আরো নিবো।আসা করি সেলার ধারাবাহিকতা বজায় থাকবে।",Positive
Hasan I,এরচেয়ে ভালো কোন পন্য হতেই পারে না। সেলারকে অনেক ধন্যবাদ ,Positive
Mamun H.,কম বাজেটের মধ্যে পন্যটি ভালই ছিলো। গায়ে দিয়ে ভালই অনুভব করছি।,Positive
সাজিদুল,সব মিলিয়ে ভালো..... ধন্যবাদ সেলার এবং দারাজকে।,Positive
Ikbal,"দেশি প্রোডাক্ট  অনুযায়ী প্রোডাক্ট এর মান মোটামুটি কিন্তু দাম  একটু কম হওয়া উচিত ছিল আছে অসংখ্য ধন্যবাদ সেলার কে, সঠিক পণ্যটি দেওয়ার জন্য",Neutral
Rakibul I,দাম হিসাবে কাপড়ের  মান একটু কম। ছবির সাথে কাপড়ের  কালার ঠিকঠাক থাকলেও কাপড়ের  মান একটু কম পাতলা অনেক। তবে পরে আরাম আছে। দাম কম করলে কাস্টমার ঠকবে না।,Neutral
