Comment,Tag,clean_sentence,clean_data
দাম অনুযায়ী পেন্ট ঠিক আছে এবং কোয়লিটি খুবই ভালো,2,দাম অনুযায়ী পেন্ট ঠিক আছে এবং কোয়লিটি খুবই ভালো,দাম অনুযায়ী পেন্ট কোয়লিটি ভালো
এটা নিঃসন্দেহে প্রতারণা। আমি রিটার্ন করবো।,0,এটা নিঃসন্দেহে প্রতারণা আমি রিটার্ন করবো,নিঃসন্দেহে প্রতারণা রিটার্ন করবো
দারাজ  কাছ থেকে এত বাজে মানের কাপড়ের শিলি হবে কখনোই আশা করিনি দেখতে খুবই সুন্দর ছবিতে আসলে বাস্তবে কি দিছে. এটা ব্যবহার করার কোন উপযুক্তই নয়.,0,দারাজ কাছ থেকে এত বাজে মানের কাপড়ের শিলি হবে কখনোই আশা করিনি দেখতে খুবই সুন্দর ছবিতে আসলে বাস্তবে কি দিছে এটা ব্যবহার করার কোন উপযুক্তই নয়,দারাজ বাজে মানের কাপড়ের শিলি কখনোই আশা করিনি সুন্দর ছবিতে আসলে বাস্তবে দিছে উপযুক্তই
খারাপ না প্রোডাক্ট তা ... . একটু দাম কম হলে ভালো হতো.... দাম অনুযায়ী একটু লো মনে হয়....দাম তা কম হলে ভালো হতো,1,খারাপ না প্রোডাক্ট তা একটু দাম কম হলে ভালো হতো দাম অনুযায়ী একটু লো মনে হয়দাম তা কম হলে ভালো হতো,খারাপ প্রোডাক্ট একটু দাম কম ভালো হতো দাম অনুযায়ী একটু লো হয়দাম কম ভালো হতো
পুরাই বাটপার। প্রোডাক্ট রিটার্ন করে নাই। বাটপারি বাদ দেন।,0,পুরাই বাটপার প্রোডাক্ট রিটার্ন করে নাই বাটপারি বাদ দেন,পুরাই বাটপার প্রোডাক্ট রিটার্ন বাটপারি বাদ
প্রোডাক্ট তা অনেক ভালো  মনে হয় দাম একটু বেশি .,1,প্রোডাক্ট তা অনেক ভালো মনে হয় দাম একটু বেশি,প্রোডাক্ট ভালো দাম একটু
অর্ডার করছি ৩৩ সাইজ পেয়েছি ৩২সাইজ...সমাধান কি???,0,অর্ডার করছি  সাইজ পেয়েছি সাইজসমাধান কি,অর্ডার করছি সাইজ পেয়েছি সাইজসমাধান
যা চাইছি তাই দিছে কিন্তু প্যান্টের সিলাই এর মান একদম খারাপ এখনই খুলে যাচ্ছে,1,যা চাইছি তাই দিছে কিন্তু প্যান্টের সিলাই এর মান একদম খারাপ এখনই খুলে যাচ্ছে,চাইছি দিছে প্যান্টের সিলাই মান একদম খারাপ এখনই খুলে
দাম একটু কম হলে ভালো হতো,1,দাম একটু কম হলে ভালো হতো,দাম একটু কম ভালো হতো
মোটামুটি,1,মোটামুটি,মোটামুটি
খুবই বাজে কোয়ালিটি। কাপড়ের মান খারাপ কাজের মান খারাপ এবং ডিজাইন অনুযায়ী প্রোডাক্ট পাবেন না। কারো যদি টাকা কামড়ায় তাহলে অর্ডার করবেন।,0,খুবই বাজে কোয়ালিটি কাপড়ের মান খারাপ কাজের মান খারাপ এবং ডিজাইন অনুযায়ী প্রোডাক্ট পাবেন না কারো যদি টাকা কামড়ায় তাহলে অর্ডার করবেন,বাজে কোয়ালিটি কাপড়ের মান খারাপ কাজের মান খারাপ ডিজাইন প্রোডাক্ট পাবেন কারো টাকা কামড়ায় অর্ডার
খুবই  ভালো একটা প্রোডাক্ট.. দাম এর দিক দিয়ে খুব ভালো প্যান্ট টা ..চাইলে সবাই নিতে পারেন,2,খুবই ভালো একটা প্রোডাক্ট দাম এর দিক দিয়ে খুব ভালো প্যান্ট টা চাইলে সবাই নিতে পারেন,ভালো প্রোডাক্ট দাম দিক দিয়ে ভালো প্যান্ট টা চাইলে সবাই
মোটামুটি ভালো। কিন্তু কাপড়ের মান হিসাবে দামটা একটু বেশি।,1,মোটামুটি ভালো কিন্তু কাপড়ের মান হিসাবে দামটা একটু বেশি,মোটামুটি ভালো কাপড়ের মান দামটা একটু
বাজে একটা পন্য কালার এর সাথে কোন মিল নাই,0,বাজে একটা পন্য কালার এর সাথে কোন মিল নাই,বাজে পন্য কালার সাথে মিল
বাজে প্রোডাক্ট ।সাইজ ৩৭ কোমর আমি অর্ডার দিয়েছিলাম  কিন্তু আমাকে দিছে ৩২ সাইজ,0,বাজে প্রোডাক্ট সাইজ  কোমর আমি অর্ডার দিয়েছিলাম কিন্তু আমাকে দিছে  সাইজ,বাজে প্রোডাক্ট সাইজ কোমর অর্ডার দিয়েছিলাম দিছে সাইজ
আমি চাইছিলাম  ৩৬ সাইজ  আর  আমারে  দিছে  ৩৪ সাইজ ,0,আমি চাইছিলাম  সাইজ আর আমারে দিছে  সাইজ,চাইছিলাম সাইজ আমারে দিছে সাইজ
আমি চাইছিলাম  ৩০ সাইজ  আর  আমারে  দিছে  ২৮ সাইজ ,0,আমি চাইছিলাম  সাইজ আর আমারে দিছে  সাইজ,চাইছিলাম সাইজ আমারে দিছে সাইজ
মোটামুটি ভালো ছিল,2,মোটামুটি ভালো ছিল,মোটামুটি ভালো
"আপনাদের আর কি বলবো . ভুলটা আমারই , রিজেক্ট  করা প্যান্ট  সেল করে,,,দেখায় একটা দেয় আরেকটা",0,আপনাদের আর কি বলবো ভুলটা আমারই রিজেক্ট করা প্যান্ট সেল করেদেখায় একটা দেয় আরেকটা,আপনাদের বলবো ভুলটা আমারই রিজেক্ট প্যান্ট সেল করেদেখায় দেয় আরেকটা
আমি চাইছি কি আর আপেরা দিছেন কি বলেন।আমি মাল রিটান দিমু,0,আমি চাইছি কি আর আপেরা দিছেন কি বলেনআমি মাল রিটান দিমু,চাইছি আপেরা দিছেন বলেনআমি মাল রিটান দিমু
একবারে খারাপ একটা পেন্ট যেমন দেখাইছে তার আসে পাশেও নাই,0,একবারে খারাপ একটা পেন্ট যেমন দেখাইছে তার আসে পাশেও নাই,একবারে খারাপ পেন্ট দেখাইছে আসে পাশেও
আমি ওডার দিছি কালো পেনট আমারে দিসে সাদা পেনট তা ও ভালো না,0,আমি ওডার দিছি কালো পেনট আমারে দিসে সাদা পেনট তা ও ভালো না,ওডার দিছি কালো পেনট আমারে দিসে সাদা পেনট ভালো
"আমি নেভি ব্লু কালার চাইছিলাম কিন্তু পেলাম সাদা আর কাপরের কোয়ালিটি খুবিই বাজে, এবং কাপরে দাগ লাগানো, এক কথায় এটা টাকা খাওয়ার দান্দা",0,আমি নেভি ব্লু কালার চাইছিলাম কিন্তু পেলাম সাদা আর কাপরের কোয়ালিটি খুবিই বাজে এবং কাপরে দাগ লাগানো এক কথায় এটা টাকা খাওয়ার দান্দা,নেভি ব্লু কালার চাইছিলাম পেলাম সাদা কাপরের কোয়ালিটি খুবিই বাজে কাপরে দাগ লাগানো এক কথায় টাকা খাওয়ার দান্দা
খুবই বাজে প্যান্ট তাই  রিজেক্ট করে  দিয়েছি ,0,খুবই বাজে প্যান্ট তাই রিজেক্ট করে দিয়েছি,বাজে প্যান্ট রিজেক্ট দিয়েছি
